podcast,label,clean_text,title,release_date
Hidden Brain,0,youre percent americans working home reveling daily commute dining room table saying economist nicholas bloom joins spare bedroom ponder working home actually working hosted simplecast adswizz company pcmadswizzcom information collection use personal data advertising,When You Start to Miss Tony from Accounting,2020-11-16
Hidden Brain,0,time schoolchildren ranked sorted based smart assumptions intelligence limit potential week revisit favorite conversation cognitive scientist scott barry kaufman proposes expansive notion means smart latest installment questions answered psychologist james cordova answers listener questions accepting romantic partners areour stops hidden brains live tour just weeks away join shankar evening science storytelling philadelphia march new york city march hell sharing seven key psychological insights decade hosting stayed tuned tour stops announced later springif missed original series james cordova listen fix marriage fix marriage episode illustration ghariza mahavira unsplash hosted simplecast adswizz company pcmadswizzcom information collection use personal data advertising,Why You're Smarter Than You Think,2026-02-16
Hidden Brain,0,assume life experiences root political ideologies deeper play hosted simplecast adswizz company pcmadswizzcom information collection use personal data advertising,"Red Brain, Blue Brain",2018-10-08
Hidden Brain,0,live big city noticed new buildings popping highrise skyscraper concrete jungles weve built past century allowed millions live close proximity modern economies flourish given moving away forest environments humans evolved week revisit conversation healing power nature psychologist ming kuo hosted simplecast adswizz company pcmadswizzcom information collection use personal data advertising,You 2.0: Our Better Nature,2019-08-12
Hidden Brain,0,job stop ask doing quit tomorrow notice week hidden brain talk anthropologist david graeber rise calls bullshit jobs positions affect people hold hosted simplecast adswizz company pcmadswizzcom information collection use personal data advertising,Bullshit Jobs,2018-09-04
Hidden Brain,0,didnt hear climate change election cycle social science research insight week encore favorite episodes hard wrap heads climate change hosted simplecast adswizz company pcmadswizzcom information collection use personal data advertising,Encore of Episode 27: Losing Alaska,2016-11-08
Hidden Brain,0,listen closely giggles guffaws polite chuckles discern huge information people relationships week talk neuroscientist sophie scott shades laughter cackles delight close friends canned mirth tv laugh tracks hosted simplecast adswizz company pcmadswizzcom information collection use personal data advertising,Laughter: The Best Medicine,2020-09-28
Hidden Brain,0,tony angry english teacher mrs holman making stay class day school takes hand tells hell forgetto hear stories like subscribe enjoy hosted simplecast adswizz company pcmadswizzcom information collection use personal data advertising,My Unsung Hero: Tony Ludlow's Story,2021-11-24
Hidden Brain,0,hidden brain host shankar vedantam talks comedian aziz ansari star master coauthor modern romance tinder texting dating bit like buying jam hosted simplecast adswizz company pcmadswizzcom information collection use personal data advertising,Encore of Episode 9: Aziz Ansari on Modern Love,2016-03-08
Hidden Brain,0,signs getting harder episode explore longterm relationships changed time able improve marriage asking hosted simplecast adswizz company pcmadswizzcom information collection use personal data advertising,You 2.0: When Did Marriage Become So Hard?,2018-08-14
Hidden Brain,0,generations difficult dangerous express sexual orientation heterosexuality united states recent years changed week revisit episode striking transformations public attitude recorded consider strategies used lgbtq community hold lessons groups seeking change hosted simplecast adswizz company pcmadswizzcom information collection use personal data advertising,Radically Normal,2021-03-09
Hidden Brain,0,randy gardner won world record going days sleeping radio replay randy shares insights experience warns copying stunt later program speak neuroscientist matthew walker mind body benefits hours sleep hosted simplecast adswizz company pcmadswizzcom information collection use personal data advertising,Radio Replay: Eyes Wide Open,2018-09-21
Hidden Brain,0,check minutes latest podcast npr hidden brain shankar vedantam explores happens people think talking thing reality speeding separate tracks usually doesnt end hosted simplecast adswizz company pcmadswizzcom information collection use personal data advertising,Hidden Brain: A Sneak Peek,2015-09-04
Hidden Brain,0,whos tried failed follow diet knows food fuel week revisit episode psychology eat spit come hosted simplecast adswizz company pcmadswizzcom information collection use personal data advertising,"Hungry, Hungry Hippocampus",2019-11-11
Hidden Brain,0,feel just single feeling overwhelming force joyously happy crushingly sad complicated feel happy sad time week revisit favorite episode psychologist naomi rothman shares research mixed emotion ambivalence explores minds changes way think changes way did catch episodes emotions series podcast feed website hiddenbrainorg thanks listening hosted simplecast adswizz company pcmadswizzcom information collection use personal data advertising,Emotions 2.0: The Benefits of Mixed Emotions,2024-11-04
Hidden Brain,0,life theres onesizefitsall answer question scientificallytested methods help feel harmony world week companion conversation hidden brain researcher victor strecher explores science creating life meaning kickoff annual series year focus purpose passion youve reached midpoint year youre feeling adrift burned series followup questions victor strecher ideas youd like share listening episode youd willing share hidden brain audience record voice memo phone email ideashiddenbrainorg use subject line purposeand reminder live tour underway shankar traveling canada share key ideas hes learned decade coming city near visit hiddenbrainorgtour hosted simplecast adswizz company pcmadswizzcom information collection use personal data advertising,You 2.0: What Is Your Life For?,2025-06-30
